,TWI,Ln(TWI),,,TB (Bloomberg),TB 12 M Sum,,,Trade Balance ,Net non-treasury portfolio flows,Basic Balance 
2005-11,84.67,4.44,,2005-11,-64.683,-704.7,,Nov-05,-704.69,518.80,-185.89
2005-12,84.00,4.43,,2005-12,-64.347,-714.4,,Dec-05,-714.38,501.04,-213.34
2006-01,82.80,4.42,,2006-01,-65.158,-723.9,,Jan-06,-723.91,521.44,-202.47
2006-02,83.47,4.42,,2006-02,-62.377,-728.8,,Feb-06,-728.78,564.11,-164.67
2006-03,83.37,4.42,,2006-03,-62.178,-737.4,,Mar-06,-737.45,621.18,-116.27
2006-04,82.36,4.41,,2006-04,-62.336,-743.5,,Apr-06,-743.52,653.47,-90.06
2006-05,79.40,4.37,,2006-05,-65.714,-752.9,,May-06,-752.92,693.83,-59.09
2006-06,80.18,4.38,,2006-06,-64.527,-759.4,,Jun-06,-759.35,693.31,-66.05
2006-07,80.59,4.39,,2006-07,-67.554,-769.0,,Jul-06,-769.03,678.46,-90.57
2006-08,79.97,4.38,,2006-08,-67.606,-778.6,,Aug-06,-778.61,706.77,-71.84
2006-09,80.27,4.39,,2006-09,-64.149,-777.7,,Sep-06,-777.71,724.08,-53.63
2006-10,81.01,4.39,,2006-10,-58.165,-768.8,,Oct-06,-768.79,714.26,-54.53
2006-11,80.27,4.39,,2006-11,-58.455,-762.6,,Nov-06,-762.57,730.67,-31.90
2006-12,79.78,4.38,,2006-12,-60.306,-758.5,,Dec-06,-758.53,696.78,-61.75
2007-01,81.11,4.40,,2007-01,-57.01,-750.4,,Jan-07,-750.38,722.72,-27.66
2007-02,80.78,4.39,,2007-02,-57.882,-745.9,,Feb-07,-745.88,697.49,-48.39
2007-03,80.06,4.38,,2007-03,-62.688,-746.4,,Mar-07,-746.39,659.17,-87.22
2007-04,78.88,4.37,,2007-04,-58.644,-742.7,,Apr-07,-742.70,690.01,-52.69
2007-05,78.26,4.36,,2007-05,-59.614,-736.6,,May-07,-736.60,737.50,0.90
2007-06,77.98,4.36,,2007-06,-59.428,-731.5,,Jun-07,-731.50,767.13,35.63
2007-07,76.77,4.34,,2007-07,-58.999,-722.9,,Jul-07,-722.95,754.42,31.47
2007-08,76.63,4.34,,2007-08,-56.804,-712.1,,Aug-07,-712.14,604.33,-107.82
2007-09,75.14,4.32,,2007-09,-56.453,-704.4,,Sep-07,-704.45,514.08,-190.37
2007-10,73.43,4.30,,2007-10,-57.823,-704.1,,Oct-07,-704.11,514.29,-189.81
2007-11,71.78,4.27,,2007-11,-63.118,-708.8,,Nov-07,-708.77,527.85,-180.92
2007-12,73.13,4.29,,2007-12,-58.759,-707.2,,Dec-07,-707.22,581.44,-125.78
2008-01,72.60,4.29,,2008-01,-61.486,-711.7,,Jan-08,-711.70,501.69,-210.00
2008-02,72.23,4.28,,2008-02,-61.749,-715.6,,Feb-08,-715.57,493.43,-222.14
2008-03,70.04,4.25,,2008-03,-59.42,-712.3,,Mar-08,-712.30,485.11,-227.19
2008-04,70.29,4.25,,2008-04,-62.141,-715.8,,Apr-08,-715.79,436.79,-279.00
2008-05,70.57,4.26,,2008-05,-60.528,-716.7,,May-08,-716.71,396.76,-319.95
